State,Institute,Institute Type,Course,Quota,Hosp Beds,Course Fee,Stipend Year 1,Stipend Year 2,Stipend Year 3,Bond,Bond Penalty
Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Govt,DNB GENERAL MEDICINE,DNB Quota,540,125000,87000,88000,89000,0 years,0
Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Govt,DNB GENERAL SURGERY,DNB Quota,540,125000,87000,88000,89000,0 years,0
Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Govt,DNB OBG,DNB Quota,540,125000,87000,88000,89000,0 years,0
Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Govt,DNB PAEDIATRICS,DNB Quota,540,125000,87000,88000,89000,0 years,0
Andhra Pradesh,"Aayush NRI LEPL Healthcare, Vijayawada",Private,DNB EMERGENCY MEDICINE,DNB Quota,200,125000,51000,53600,56500,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD ANAESTHESIOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD ANATOMY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD BIOCHEMISTRY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD COMMUNITY MEDICINE,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD DERMATOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD FORENSIC MEDICINE,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD GENERAL MEDICINE,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD MICROBIOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PAEDIATRICS,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PATHOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PHARMACOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PHYSIOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PSYCHIATRY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD PULMONARY MEDICINE,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MD RADIODIAGNOSIS,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MS ENT,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MS GENERAL SURGERY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MS OBG,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MS OPHTHALMOLOGY,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,MS ORTHOPAEDICS,All India Quota,750,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Amara Hospital, Tirupati",Private,DNB ANAESTHESIOLOGY,DNB Quota,100,125000,43000,45000,47000,0 years,0
Andhra Pradesh,"Amara Hospital, Tirupati",Private,DNB ORTHOPAEDICS,DNB Quota,100,125000,43000,45000,47000,0 years,0
Andhra Pradesh,"Andhra Hospital, Vijayawada",Private,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,500,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Andhra Hospital, Vijayawada",Private,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,500,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Andhra Hospital, Vijayawada",Private,DNB GENERAL SURGERY,DNB Quota,500,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Hospital, Vijayawada",Private,DNB PAEDIATRICS,DNB Quota,500,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,Diploma in CLINICAL PATHOLOGY,All India Quota,2350,15375,60823,61528,0,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,Diploma in DERMATOLOGY,All India Quota,2350,15375,60823,61528,0,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD ANAESTHESIOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD ANATOMY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD BIOCHEMISTRY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD COMMUNITY MEDICINE,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD DERMATOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD FORENSIC MEDICINE,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD GENERAL MEDICINE,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD MICROBIOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PAEDIATRICS,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PATHOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PHARMACOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PHYSIOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PSYCHIATRY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD PULMONARY MEDICINE,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD RADIODIAGNOSIS,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MD RADIOTHERAPY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MS ENT,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MS GENERAL SURGERY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MS OBG,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MS OPHTHALMOLOGY,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,MS ORTHOPAEDICS,All India Quota,2350,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Ankura Hospital for Women & Children, Chittoor",Private,DNB PAEDIATRICS,DNB Quota,50,125000,50000,53000,56000,0 years,0
Andhra Pradesh,"APL & ANR Area Hospital, Gudiwada",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"APL & ANR Area Hospital, Gudiwada",Govt,Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Apollo Hospital, Kakinada",Private,DrNB NEURO SURGERY (Direct 6 Yrs),DNB Quota,200,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,DNB ANAESTHESIOLOGY,DNB Quota,350,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,DNB GENERAL MEDICINE,DNB Quota,350,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,DNB ORTHOPAEDICS,DNB Quota,350,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,DNB RADIODIAGNOSIS,DNB Quota,350,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,DNB RADIOTHERAPY,DNB Quota,350,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Apollo Speciality Hospitals, Nellore",Private,DNB ANAESTHESIOLOGY,DNB Quota,180,125000,48000,49000,50000,0 years,0
Andhra Pradesh,"Area Hospital, Adoni",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Amalapuram",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,150,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Amalapuram",Govt,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,150,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Gudur",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,180,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Nagari",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,120,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Nagari",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,120,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Nuzvid",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Ramachandrapuram",Govt,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,120,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Srikalahasthi, Chittoor",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,150,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Area Hospital, Srikalahasthi, Chittoor",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,150,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Balaji Instt. of Surgery, Research & Rehabilitation for the Disabled (BIRRD), Tirupati",Private,DNB ORTHOPAEDICS,DNB Quota,500,125000,44075,46524,48973,0 years,0
Andhra Pradesh,"Bhimavaram Hospitals, West Godavari",Govt-Private,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Machilipatnam",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Machilipatnam",Govt,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Machilipatnam",Govt,Diploma in RADIO DIAGNOSIS - DMRD (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Madanapalle",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Madanapalle",Govt,Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Madanapalle",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Markapur, Prakasam",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Markapur, Prakasam",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,320,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Nellore",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,500,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Proddatur",Govt,Diploma in ENT - DLO (NBEMS),DNB Quota,270,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Proddatur",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,270,125000,60823,61528,0,0 years,0
Andhra Pradesh,"District Hospital, Proddatur",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,270,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Anji Reddy Multi Speciality Hospitals, Piduragalla",Private,DNB GENERAL SURGERY,DNB Quota,150,125000,50700,53550,56320,0 years,0
Andhra Pradesh,"Dr. Anji Reddy Super Specialities Hospital, Narasaraopet",Private,DNB GENERAL MEDICINE,DNB Quota,100,125000,50700,53550,56320,0 years,0
Andhra Pradesh,"Dr. Ramana Raju's Visiontree Superspeciality Eye Care Center, Visakhapatnam",Private,DNB OPHTHALMOLOGY,DNB Quota,20,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,Diploma in OBG - DGO (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,Diploma in RADIO DIAGNOSIS - DMRD (NBEMS),DNB Quota,100,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,DNB ANAESTHESIOLOGY,DNB Quota,100,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,DNB GENERAL MEDICINE,DNB Quota,100,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,DNB ORTHOPAEDICS,DNB Quota,100,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,DNB RADIODIAGNOSIS,DNB Quota,100,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,DrNB CARDIO VASCULAR & THORACIC SURGERY (Direct 6 Yrs),DNB Quota,100,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Vijayawada",Private,Diploma in TB & CHEST DISEASE - DTCD (NBEMS),DNB Quota,150,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Vijayawada",Private,DNB EMERGENCY MEDICINE,DNB Quota,150,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD ANAESTHESIOLOGY,Deemed: Mngmt,750,2970000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD COMMUNITY MEDICINE,Deemed: Mngmt,750,800000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD DERMATOLOGY,Deemed: Mngmt,750,3850000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD DERMATOLOGY,Deemed: NRI,750,15448000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD GENERAL MEDICINE,Deemed: Mngmt,750,3300000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD GENERAL MEDICINE,Deemed: NRI,750,13360000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PAEDIATRICS,Deemed: Mngmt,750,3300000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PAEDIATRICS,Deemed: NRI,750,13360000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PATHOLOGY,Deemed: Mngmt,750,1200000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PSYCHIATRY,Deemed: Mngmt,750,2200000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PULMONARY MEDICINE,Deemed: Mngmt,750,3300000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD PULMONARY MEDICINE,Deemed: NRI,750,10200000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD RADIODIAGNOSIS,Deemed: Mngmt,750,3850000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MD RADIODIAGNOSIS,Deemed: NRI,750,15448000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS ENT,Deemed: Mngmt,750,2750000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS GENERAL SURGERY,Deemed: Mngmt,750,2750000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS GENERAL SURGERY,Deemed: NRI,750,10855000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS OBG,Deemed: Mngmt,750,2970000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS OBG,Deemed: NRI,750,11690000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS OPHTHALMOLOGY,Deemed: Mngmt,750,2750000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS ORTHOPAEDICS,Deemed: Mngmt,750,2750000,44075,46524,48973,0 years,0
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,MS ORTHOPAEDICS,Deemed: NRI,750,0,44075,46524,48973,0 years,0
Andhra Pradesh,"GMR Varalakshmi Care Hospital, Srikakulam",Private,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,200,125000,50600,53500,0,0 years,0
Andhra Pradesh,"GMR Varalakshmi Care Hospital, Srikakulam",Private,Diploma in OBG - DGO (NBEMS),DNB Quota,200,125000,50600,53500,0,0 years,0
Andhra Pradesh,"Goutami Eye Institute, Rajahmundry",Private,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,50,125000,44075,46524,0,0 years,0
Andhra Pradesh,"Goutami Eye Institute, Rajahmundry",Private,DNB OPHTHALMOLOGY,DNB Quota,50,125000,44075,46524,48973,0 years,0
Andhra Pradesh,"Government District Hospital, Anakapalli",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,300,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government District Hospital, Anakapalli",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,300,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government District Hospital, Anakapalli",Govt,DNB OBG,DNB Quota,300,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Eluru",Govt,Diploma in ENT - DLO (NBEMS),DNB Quota,450,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Eluru",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,450,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Eluru",Govt,DNB GENERAL MEDICINE,DNB Quota,450,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Eluru",Govt,DNB OBG,DNB Quota,450,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Eluru",Govt,DNB ORTHOPAEDICS,DNB Quota,450,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,200,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,DNB ANAESTHESIOLOGY,DNB Quota,200,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,DNB EMERGENCY MEDICINE,DNB Quota,200,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Rajamahendravaram",Govt,Diploma in ENT - DLO (NBEMS),DNB Quota,310,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Rajamahendravaram",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,310,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Rajamahendravaram",Govt,DNB ANAESTHESIOLOGY,DNB Quota,310,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Rajamahendravaram",Govt,DNB GENERAL SURGERY,DNB Quota,310,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Rajamahendravaram",Govt,DNB OBG,DNB Quota,310,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,Diploma in ANAESTHESIOLOGY - DA (NBEMS),DNB Quota,430,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,Diploma in ENT - DLO (NBEMS),DNB Quota,430,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,Diploma in OBG - DGO (NBEMS),DNB Quota,430,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,Diploma in OPHTHALMOLOGY - DO (NBEMS),DNB Quota,430,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,Diploma in PAEDIATRICS - DCH (NBEMS),DNB Quota,430,125000,60823,61528,0,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,DNB ANAESTHESIOLOGY,DNB Quota,430,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,DNB OBG,DNB Quota,430,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,DNB ORTHOPAEDICS,DNB Quota,430,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,DNB PAEDIATRICS,DNB Quota,430,125000,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD ANAESTHESIOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD BIOCHEMISTRY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD COMMUNITY MEDICINE,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD DERMATOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD FORENSIC MEDICINE,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD GENERAL MEDICINE,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD MICROBIOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD PAEDIATRICS,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD PATHOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD PHARMACOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD PHYSIOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD PSYCHIATRY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MD RADIODIAGNOSIS,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MS ENT,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MS GENERAL SURGERY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MS OBG,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MS OPHTHALMOLOGY,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,MS ORTHOPAEDICS,All India Quota,0,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College, Ananthapuram",Govt,MD ANAESTHESIOLOGY,All India Quota,1510,15375,60823,61528,64767,0 years,0
Andhra Pradesh,"Government Medical College, Ananthapuram",Govt,MD ANATOMY,All India Quota,1510,15375,60823,61528,64767,0 years,0
